ID,Model 1 R^2,Model 2 R^2,Model 3 R^2,Model 4 R^2,Model 5 R^2,Model 6 R^2,Model 7 R^2,Model 8 R^2,Model 1 BIC,Model 2 BIC,Model 3 BIC,Model 4 BIC,Model 5 BIC,Model 6 BIC,Model 7 BIC,Model 8 BIC,Pop_Size_units,Temp_C,Medium,Species,Repeat,Citation,N05,Nmax5,Rmax5,Tlag5,N06,Nmax6,Rmax6,Tlag6,N07,Nmax7,Rmax7,Tlag7,N08,Nmax8,Rmax8,Tlag8
11723,0.77,0.816,0.835,0.926,0.24,0.911,0.902,0.901,41.3,41.25,42.42,35.96,56.84,35.64,36.73,36.78,N,5,ESAW,Tetraselmis tetrahele,2,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",6.373035758673135,13.756060438239809,0.014217220291816251,2.626278900015557,8.9329277768272,13.957124645078489,0.09679766743178791,237.22840490681637,8.925587810485318,14.044967054328938,0.04816336076725225,200.42564759255373,8.970495176089523,14.058509706731687,0.04641565507138273,201.67981672386406
11888,0.778,0.967,0.973,0.996,0.987,0.964,1,1,37.54,22.46,23.03,9.027,14.12,25.42,-14.48,-13.28,CFU,20,TGE agar,Arthrobacter sp. 62,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",0.9856189894162928,9.496132997847795,0.08100936009041684,0.22477784598446734,2.9115612593291886,9.445429113776283,0.6844544058547333,27.6422764227642,1.908106614830215,9.388773084527564,0.3999814658734325,11.969901851094786,1.9052167105126883,9.38808362534442,0.3939380989926149,11.536693799578938
11935,0.961,0.992,0.997,0.997,0.507,0.995,0.997,0.997,60.13,41.74,33.42,35.69,95.69,38.05,32.8,33,N,30,MRS broth,Lactobacillus plantarum,1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",8.398687348906792e-6,31.278481094668432,1.0502796661448601,2.353866428907166e-4,5.711478396300225,34.48452540687195,2.910103309336537,2.478070320230035,5.099667957137968,32.02992802502011,2.381227346157166,0,6.0927100493728,31.996332302382044,2.3838033865265214,0.9683551806589402
12112,0.0289,0.232,0.665,0.929,-0.212,-0.428,-0.251,-2.09,4.385,1.334,-17.77,-56.18,13.66,21.39,17.82,42.25,OD_595,15,TSB,Pantoea.agglomerans,2,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.3244554170656597,0.8859017046884279,0.0017563893687275126,0.10600318891774381,0.18434982035909458,0.8859017046884279,0.0017563893687275126,3.69515011547342,0.2567278304397356,0.8859017046884279,0.0017563893687275126,3.69515011547342,1.926486580561859e-9,0.8035389611686421,0.03554133198547918,2.6494622385343267
12149,0.992,0.993,0.996,0.998,0.162,0.992,0.998,0.998,4.701,5.452,3.509,-1.022,39.03,8.189,-0.1419,-2.009,N,15,C02 Beef Striploins,Escherichia coli,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",2.407957527685348,11.493282814614895,2.079545118087921,2.8813065669070044,5.136187500975613,12.671344303112923,3.8296186537496344,0.85634573043683615,5.183567311564919,12.439596109319034,3.1306887989521486,0.5656986055316946,5.219811689916112,12.06794695534564,3.0965542911832626,0.5619385516618878
12765,0.928,0.943,0.988,0.992,0.983,0.993,0.991,0.991,48.42,47.92,29.21,24.98,31.01,21.93,24.36,24.39,CFU,7,Raw Chicken Breast,Staphylococcus spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.16050056452199116,10.215932456999985,0.032468615336775405,0.07972031099841102,0.9490397992108851,11.070750455152133,0.15935593766581335,69.7417823644712,0.9887177633823292,10.389316794708284,0.12995691111964844,59.270507677241866,1.026953267022441,10.380491425058075,0.12694447020076036,58.1999315819252
13487,0.838,0.964,0.983,0.996,0.991,0.993,0.991,0.989,45.37,29.96,23.57,9.607,12.95,12.54,15.86,18.02,CFU,10,Salted Chicken Breast,Aerobic Mesophilic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.16809918842353677,8.55997635499941,0.05375868604130244,0.05000546765246864,0.9974528276470883,8.576506524818711,0.2942453008017064,46.64978670886916,0.9355410145144152,8.442654217382255,0.22752838392397043,40.01788062064677,1.0175657873214918,8.500453506902328,0.2124687685019609,38.740178967635345
14054,0.969,0.97,0.988,0.993,0.949,0.993,0.988,0.983,25.15,26.93,20.83,17.96,31.84,16.14,20.87,24.23,CFU,20,Cooked Chicken Breast,Pseudomonas spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.05227415239596909,10.90496391372572,0.20992055533922108,0.07445975157232913,1.0749893598866214,12.022722714882606,0.8545167065948722,15.026743984883348,1.2718444400274511,11.064865857191249,0.7201644482737234,13.997760364941053,1.1781106331106574,11.450212109412005,0.6283942102848353,11.586472471530524
14239,0.0926,0.527,0.865,0.926,0.179,0.178,0.177,0.173,8.495,1.421,-14.67,-21.07,9.71,12.43,12.45,12.52,OD_595,35,TSB,Pantoea.agglomerans,2,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0031199907810271874,0.8486514468799703,0.6154035200259577,0.01340748363364504,0,0.8486514468799703,0.14583265712784102,3.043536972098801,0.029126776434479806,0.8486514468799703,0.6773344527362525,7.96078431372549,0.00721021131784995,0.8486514468799703,0.14183709823407398,3.2024124370254263
14444,0.0755,0.76,0.859,0.862,0.41,0.41,0.413,0.403,-8.507,-27.32,-33.07,-30.61,-12.93,-10.15,-10.24,-9.966,OD_595,35,TSB,Acinetobacter.clacoaceticus,2,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.010834133590598856,0.42884287719046105,0.45028502104998414,0.023834607409970274,0.05239263780887372,0.42884287719046105,0.12021688260034818,5.03605412461894,0.024834774288213252,0.42884287719046105,0.44204528380451424,7.25193107546045,0.03922115771471123,0.42884287719046105,0.08688778532331891,3.4318965416439413
14728,0.0203,0.199,0.526,0.754,0.394,0.403,0.389,0.405,17.2,16.45,9.911,1.014,11.44,14.07,14.48,14,OD_595,35,TSB,Dickeya.zeae..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.022361799164693566,0.8214252154762522,0.8624964762500649,0.04881975044995267,0.06374656823363396,0.8214252154762522,0.6302432985874523,2.7944111776447502,0,0.8214252154762522,0.8624964762500649,2.7944111776447502,0.10266053442666784,0.8214252154762522,0.4640443464215724,2.7944111776447502
15140,0.929,0.932,0.988,0.991,0.984,0.997,0.988,0.983,32.58,34.38,20.87,20.54,21.53,9.89,20.71,24.38,CFU,2,Cooked Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.03311236179499198,10.615428648571957,0.018650447344028476,0.02846029444165697,0.9968487481290916,11.125594338105671,0.10124238030931287,212.63187071138017,1.0581727182539462,10.615428648571957,0.08574066815086179,200.4448220904783,1.0209029709563482,11.146200081000554,0.0685130987010125,174.9424832537589
15513,0.821,0.979,0.991,0.992,0.99,0.995,0.993,0.984,-19.59,-50.97,-62.3,-61.58,-62.23,-69.89,-66.04,-52.98,OD_595,25,TSB,Stenotrophomonas.maltophilia,2,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.042365141750481825,0.6166999734788788,0.13053246065338214,0.006885121724390852,0,0.6166999734788788,0.03840311383833504,1.3188218760445585,0,0.6166999734788788,0.06372424648594997,3.29755821745686,0.026575769656726478,0.6166999734788788,0.026358071787550896,0.2137645500232628
15909,0.349,0.518,0.683,0.835,0.994,0.996,0.993,0.982,13.29,11.03,6.734,-1.544,-62.33,-68.47,-58.53,-42.31,OD_595,35,TSB,Enterobacter.sp.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.03298120626330134,0.9400988805055907,0.7490959801683056,0.007149156132108455,0.04604578576907234,0.9478165166583115,0.4242126663633285,2.0321304966691534,0.01706520803352428,0.9418951270801483,0.7616921863124876,3.0196078431372593,0.04887771377786775,0.9368878996634388,0.3031110736080674,1.350789238962875
16620,0.71,0.775,0.777,0.79,0.268,0.79,0.79,0.805,42.99,42.59,44.88,46.64,55.55,44.22,44.22,43.38,N,5,ESAW,Tetraselmis tetrahele,4,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",8.611483324366915,14.013474557227271,0.014524884435891,2.7703510522012684,9.000238735502158,14.473154135229873,0.029616829434224275,75.86062614642472,9.117215639742641,14.338808457056933,0.026326669295148274,74.600409350894,9.401376849144322,14.321504394612507,0.023309668860986666,82.8417676940448
16755,0.947,0.962,0.994,0.999,0.949,0.998,0.996,0.991,29.84,29.02,15.35,3.945,31.78,5.333,11.26,17.85,CFU,15,Cooked Chicken Breast,Aerobic Mesophilic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.08364639339083031,11.36787367542375,0.11372345771096593,0.09191772725888879,1.31817394124164,12.369449128604312,0.501734384353847,25.63978017253527,1.4140501030631116,11.5688266743923,0.4344280466590126,23.50965530097881,1.4833755212170314,11.936267359194938,0.3888174847225945,21.997516105841182
17002,0.925,0.992,0.992,0.992,0.581,0.99,0.99,0.99,70.84,42.91,44.57,46.56,97.51,47.61,47.52,47.43,N,12,MRS broth,Weissella viridescens,1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",2.512690160647976e-4,28.407560556057387,0.40986166129678075,0.0022061372515707147,4.674074356974003,31.319335513053275,0.7495229027686815,0,6.077210142715418,29.100770567732148,0.6390936476194136,0,6.46691827383174,29.093618288726823,0.6401195951912052,1.2886291173493025
17352,0.986,0.993,1,1,0.952,0.995,1,0.999,11.7,8.491,-11.17,-14.27,23.81,7.431,-16.03,-7.914,CFU,20,Salted Chicken Breast,Pseudomonas spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.11187819839853437,8.984562889697155,0.1584227786326924,0.11707381987795525,1.2988170903137395,9.905480585891114,0.599325349353653,16.60945356295731,1.0274065594355783,9.446077224022781,0.4819103037721335,12.390640772018116,1.3130164518820269,9.433791034182013,0.4678830948643177,13.308689076114632
18249,0.959,0.959,0.98,0.989,0.206,0.983,0.983,0.987,13.96,15.67,13.14,11.51,33.47,12.27,12.33,10.78,N,20,Vacuum Beef Striploins,Spoilage,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",6.9057780867750145,13.018289562226721,7.561319196997141,3.063612277755521,7.285353560549024,14.352664242354962,13.119685773096723,0.33138425324688375,7.359126338064046,13.69050622447318,11.403178019988657,0.28522723833449815,7.51742669172196,13.669204040338059,11.099768940740011,0.29871427992429167
18929,0.467,0.804,0.963,0.971,0.983,0.974,0.989,0.987,65.22,53.86,33.19,32.49,19.29,28.22,16.76,18.21,CFU,20,TGE agar,Arthrobacter sp. 88,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.0873466691545333,9.90349021153027,0.08088518237139382,0.2540122092249242,0.9139867066762762,9.930682696462055,0.4384671506713023,3.18901370414002,1.4288558904704252,9.87245717721203,0.3603437438822133,3.18901370414002,1.6085562461010783,9.872012837851289,0.34734606174834226,3.18901370414002
19402,0.922,0.948,0.993,0.998,0.983,0.996,0.999,0.998,25.13,24.25,12.01,5.954,16.46,8.133,-2.636,1.435,CFU,4,Salted Chicken Breast,Aerobic Mesophilic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.11983719941846836,9.903076621731389,0.01938197042162724,0.09430665448468166,1.549307550731008,10.31534399863664,0.10777238978975516,160.5661580820815,1.4884954505708146,9.814991057442244,0.08685961137179754,141.55676272078375,1.424585226540971,9.817507205790308,0.08100910970082616,131.63417864102564
19444,0.753,0.979,0.979,0.999,0.991,0.994,0.999,0.999,28.73,13.39,15.32,-2.404,7.372,7.006,-3.57,-3.948,CFU,4,Cooked Chicken Breast,Staphylococcus spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.07167297485998683,8.161857860667807,0.019755314711707748,0.0404749788312942,1.4651034447454172,8.12359138473858,0.11145667409501755,188.1079366623937,1.4179244715312707,8.04362375931745,0.08703659885583903,174.37604273093226,1.469027644016256,8.037047360743896,0.08626894929980099,175.0387832414647
19445,0.306,0.491,0.661,0.82,0.996,0.996,0.993,0.986,13.82,11.36,7.282,-0.5912,-69.57,-66.41,-59.27,-46.62,OD_595,25,TSB,Klebsiella.pneumonia,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.024442909899953957,0.934987748966752,0.8089203075142559,0.004894146991624015,0.09912395158333759,0.9321092200338318,0.5565708936328992,3.003643826436597,0.010947950100919897,0.936888263582313,0.7782947083456934,3.003643826436597,0.06742114645790023,0.9295013107316384,0.3229427119859574,1.6763426416922507
21150,0.951,0.963,0.996,0.999,0.989,0.999,0.998,0.998,28,27.46,7.314,-2.321,15.68,-6.962,0.2082,2.613,CFU,2,Raw Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.14255791378008018,9.112990467425965,0.016800745151127176,0.05698387205284954,1.1254935600096312,9.719557297988262,0.08077401313742384,154.32723435263142,1.1483472930193968,9.158912299146186,0.06789376047179989,139.60776938395009,1.1656482459131825,9.160124374127554,0.06560509175990274,135.22830840280625
21317,0.929,0.94,0.988,0.995,0.988,0.996,0.997,0.997,37.55,38.04,23.01,14.61,20.33,10.3,7.261,7.392,CFU,10,Raw Chicken Breast,Staphylococcus spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.08623559164968768,10.565888650622828,0.05395062899805776,0.042838380816190465,0.9955976894547736,11.238264088869638,0.2837942712136835,53.80225728041769,1.0297023738499833,10.528965580341247,0.25802268851693105,51.202779013848925,1.0341273528442874,10.527899628641242,0.2569524320606443,51.03820758181171
21425,0.913,0.915,0.989,0.989,0.98,0.991,0.995,0.994,52,54.23,27.99,30.6,33.82,25.24,17.99,18.89,CFU,7,Cooked Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.06475650631330966,10.41875436471083,0.030078791106420817,0.0460884119509321,1.0385687617382582,10.925468164730873,0.17044108853385845,112.92777220947508,1.0238973021463686,10.180112425704959,0.1475020977688994,104.64960739035546,1.0187746071525081,10.1683293130762,0.14193369568295022,101.13435158882602
21765,0.924,0.924,0.994,0.994,0.97,0.99,0.994,0.993,29.59,31.79,11.65,13.22,23.42,15.92,11.72,12.34,CFU,2,Cooked Chicken Breast,Aerobic Mesophilic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.08829257331996425,9.273792480757796,0.017517662939051222,0.07258964508734088,1.3605095836064465,9.759523665017396,0.08683628317165518,184.04852346705974,1.3821652721506343,9.377112711906973,0.07071052879878809,168.71310109606563,1.4237706785151405,9.366649380560672,0.0671335308382978,163.06003176729158
21836,0.958,0.979,0.993,0.998,0.985,0.997,0.994,0.993,20.98,17.23,9.27,-1.682,14.04,0.1352,8.287,8.859,CFU,15,Salted Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.23067423300233347,8.061208337044821,0.07568188787947722,0.09027730021495474,1.0660085313152516,8.851722066806827,0.30569222424387826,25.672837438711714,1.18303251225456,8.115588266257452,0.2775029758846746,24.831922898704132,1.2513336948017708,8.046470440255597,0.2793481894313751,25.422495169147194
